frame,OH_SiO2,OH_CSH_on_O_Hydroxyl,OH_CSH_on_O_Bridging,OH_CSH_Water,OH_IF,OH_IF_CaCoord,OH_SiO2_per_nm2,OH_CSH_on_O_Hydroxyl_per_nm2,OH_CSH_on_O_Bridging_per_nm2,OH_CSH_Water_per_nm2,OH_IF_per_nm2,OH_IF_CaCoord_per_nm2,OH_SiO2_per_nm3,OH_CSH_on_O_Hydroxyl_per_nm3,OH_CSH_on_O_Bridging_per_nm3,OH_CSH_Water_per_nm3,OH_IF_per_nm3,OH_IF_CaCoord_per_nm3
108,180,279,0,170,386,210,9.272980608,14.37311994,0,8.757815018,19.88539175,10.81847738,4.041252241,6.263940973,0,3.816738227,8.666240916,4.714794281
109,180,277,0,172,378,218,9.272980608,14.27008682,0,8.860848136,19.47325928,11.23060985,4.023498272,6.191716785,0,3.844676126,8.449346371,4.872903462
110,180,278,0,170,372,226,9.272980608,14.32160338,0,8.757815018,19.16415992,11.64274232,4.041525248,6.241911216,0,3.816996067,8.352485512,5.074359478
111,180,281,0,170,364,234,9.272980608,14.47615306,0,8.757815018,18.75202745,12.05487479,4.043991025,6.313119322,0,3.819324857,8.177848517,5.257188332
112,180,276,0,172,394,202,9.272980608,14.21857027,0,8.860848136,20.29752422,10.4063449,4.050451711,6.210692623,0,3.870431635,8.865988745,4.54550692
113,180,278,0,170,385,214,9.272980608,14.32160338,0,8.757815018,19.83387519,11.02454361,4.043248684,6.244572967,0,3.818623757,8.648059685,4.806973435
114,180,287,0,170,383,214,9.272980608,14.78525241,0,8.757815018,19.73084207,11.02454361,4.028245391,6.422813485,0,3.80445398,8.571211026,4.789136187
115,180,278,0,174,364,228,9.272980608,14.32160338,0,8.963881254,18.75202745,11.74577544,4.050796743,6.256230525,0,3.915770184,8.19161119,5.131009207
116,180,281,0,174,382,212,9.272980608,14.47615306,0,8.963881254,19.67932551,10.92151049,4.041615964,6.309411589,0,3.906895432,8.577207214,4.760125469
117,180,275,0,174,372,222,9.272980608,14.16705371,0,8.963881254,19.16415992,11.43667608,4.046387418,6.181980777,0,3.911507837,8.362533997,4.990544482
118,180,276,0,172,398,198,9.272980608,14.21857027,0,8.860848136,20.50359045,10.20027867,4.048168905,6.207192321,0,3.868250287,8.950951245,4.452985795
119,180,280,0,176,392,200,9.272980608,14.4246365,0,9.066914372,20.1944911,10.30331179,4.02637999,6.263257762,0,3.936904879,8.768560867,4.473755545
120,180,272,0,174,378,216,9.272980608,14.01250403,0,8.963881254,19.47325928,11.12757673,4.059331506,6.134100942,0,3.924020456,8.524596162,4.871197807
121,180,279,0,170,370,226,9.272980608,14.37311994,0,8.757815018,19.0611268,11.64274232,4.038751102,6.260064208,0,3.814376041,8.301877265,5.070876384
122,180,281,0,172,382,212,9.272980608,14.47615306,0,8.860848136,19.67932551,10.92151049,4.041032981,6.308501487,0,3.861431515,8.575969994,4.759438845
123,180,285,0,172,374,218,9.272980608,14.6822193,0,8.860848136,19.26719304,11.23060985,4.038455606,6.394221375,0,3.85896869,8.391013314,4.891018456
124,180,279,0,170,362,234,9.272980608,14.37311994,0,8.757815018,18.64899433,12.05487479,4.035823551,6.255526503,0,3.811611131,8.116489585,5.246570616
125,180,281,0,170,362,232,9.272980608,14.47615306,0,8.757815018,18.64899433,11.95184167,4.028772179,6.289361013,0,3.804951502,8.102308493,5.192639697
126,180,278,0,172,354,240,9.272980608,14.32160338,0,8.860848136,18.23686186,12.36397414,4.052361624,6.258647398,0,3.872256663,7.969644528,5.403148833
127,180,277,0,172,380,214,9.272980608,14.27008682,0,8.860848136,19.57629239,11.02454361,4.051771111,6.235225543,0,3.871692395,8.553739013,4.817105654
128,180,279,0,173,394,200,9.272980608,14.37311994,0,8.912364695,20.29752422,10.30331179,4.033048454,6.251225103,0,3.876207681,8.827894949,4.481164949
129,180,282,0,172,374,220,9.272980608,14.52766962,0,8.860848136,19.26719304,11.33364297,4.050211108,6.345330736,0,3.870201725,8.415438635,4.950258021
130,180,276,0,172,366,228,9.272980608,14.21857027,0,8.860848136,18.85506057,11.74577544,4.072950731,6.245191121,0,3.891930699,8.281666487,5.159070926
131,180,274,0,168,376,222,9.272980608,14.11553715,0,8.654781901,19.37022616,11.43667608,4.065996442,6.18935014,0,3.794930013,8.49341479,5.014728945
132,180,280,0,172,368,226,9.272980608,14.4246365,0,8.860848136,18.95809369,11.64274232,4.048986423,6.298423324,0,3.869031471,8.277927798,5.083727398
133,180,278,0,172,396,198,9.272980608,14.32160338,0,8.860848136,20.40055734,10.20027867,4.046679662,6.249871922,0,3.866827232,8.902695255,4.451347628
134,180,276,0,172,374,220,9.272980608,14.21857027,0,8.860848136,19.26719304,11.33364297,4.05037475,6.210574617,0,3.870358095,8.415778647,4.950458028
135,180,282,0,172,366,228,9.272980608,14.52766962,0,8.860848136,18.85506057,11.74577544,4.037251201,6.325026882,0,3.857817814,8.209077442,5.113851522
136,180,283,0,172,384,208,9.272980608,14.57918618,0,8.860848136,19.78235863,10.71544426,4.045153574,6.359880341,0,3.865368971,8.629660958,4.674399685
137,180,280,0,174,382,208,9.272980608,14.4246365,0,8.963881254,19.67932551,10.71544426,4.039063355,6.282987441,0,3.90442791,8.571790009,4.667362099
138,180,276,0,174,373,220,9.272980608,14.21857027,0,8.963881254,19.21567648,11.33364297,4.063358646,6.230483257,0,3.927913358,8.420182083,4.966327234
139,180,279,0,174,352,238,9.272980608,14.37311994,0,8.963881254,18.13382874,12.26094103,4.063466371,6.298372876,0,3.928017492,7.946334237,5.372805535
140,180,283,0,174,372,220,9.272980608,14.57918618,0,8.963881254,19.16415992,11.33364297,4.024557363,6.327498521,0,3.890405451,8.31741855,4.918903444
141,180,275,0,172,381,212,9.272980608,14.16705371,0,8.860848136,19.62780895,10.92151049,4.058645696,6.200708702,0,3.878261443,8.590800057,4.780182709
142,180,279,0,172,375,218,9.272980608,14.37311994,0,8.860848136,19.3187096,11.23060985,4.053605186,6.283088039,0,3.873444956,8.445010805,4.909366281
143,180,288,0,172,378,214,9.272980608,14.83676897,0,8.860848136,19.47325928,11.02454361,4.029619529,6.447391246,0,3.850525328,8.46220101,4.790769884
144,180,282,0,172,375,218,9.272980608,14.52766962,0,8.860848136,19.3187096,11.23060985,4.041202047,6.33121654,0,3.861593067,8.419170931,4.894344701
145,180,282,0,172,375,216,9.272980608,14.52766962,0,8.860848136,19.3187096,11.12757673,4.036835541,6.324375681,0,3.857420628,8.410074043,4.844202649
146,180,282,0,170,369,226,9.272980608,14.52766962,0,8.757815018,19.00961025,11.64274232,4.046704385,6.33983687,0,3.821887475,8.295743989,5.080862172
147,180,287,0,168,370,226,9.272980608,14.78525241,0,8.654781901,19.0611268,11.64274232,4.018279944,6.406924132,0,3.750394614,8.259797662,5.045173707
148,180,286,0,168,376,220,9.272980608,14.73373585,0,8.654781901,19.37022616,11.33364297,4.026246251,6.397257933,0,3.757829835,8.410381058,4.920967641
149,180,289,0,170,370,222,9.272980608,14.88828553,0,8.757815018,19.0611268,11.43667608,4.034287209,6.477272242,0,3.810160142,8.292701486,4.975620891
150,180,284,0,170,378,216,9.272980608,14.63070274,0,8.757815018,19.47325928,11.12757673,4.052189853,6.393455102,0,3.827068195,8.509598692,4.862627824
151,180,288,0,170,384,206,9.272980608,14.83676897,0,8.757815018,19.78235863,10.61241114,4.029171299,6.446674079,0,3.805328449,8.595565439,4.611162709
152,180,280,0,172,378,214,9.272980608,14.4246365,0,8.860848136,19.47325928,11.02454361,4.029651924,6.268347438,0,3.850556283,8.462269041,4.790808399
153,180,287,0,172,373,220,9.272980608,14.78525241,0,8.860848136,19.21567648,11.33364297,4.052279279,6.461134183,0,3.872177977,8.397223172,4.952785785
154,180,283,0,170,366,228,9.272980608,14.57918618,0,8.757815018,18.85506057,11.74577544,4.036589524,6.346415752,0,3.812334551,8.207732033,5.113013397
155,180,284,0,170,371,224,9.272980608,14.63070274,0,8.757815018,19.11264336,11.5397092,4.022232983,6.346189817,0,3.798775595,8.290269092,5.00544549
156,180,284,0,172,378,214,9.272980608,14.63070274,0,8.860848136,19.47325928,11.02454361,4.037106194,6.369656439,0,3.857679252,8.477923007,4.799670697
157,180,279,0,172,393,200,9.272980608,14.37311994,0,8.860848136,20.24600766,10.30331179,4.057983204,6.289873966,0,3.877628395,8.859929995,4.508870226
158,180,278,0,168,379,218,9.272980608,14.32160338,0,8.654781901,19.52477584,11.23060985,4.04468424,6.246790104,0,3.775038624,8.516307372,4.898562024
159,180,279,0,168,380,214,9.272980608,14.37311994,0,8.654781901,19.57629239,11.02454361,4.035112299,6.254424063,0,3.766104812,8.518570408,4.797300177
160,180,284,0,166,374,224,9.272980608,14.63070274,0,8.551748783,19.26719304,11.5397092,4.030989347,6.360005415,0,3.717467954,8.375500089,5.016342299
