frame,Ca-O_SiO2_Surface,Ca-O_SiO2_Structural,Ca-O_Water_IF_CaCoord,CSH_Si-O_SiO2_Surface,CSH_Si-O_SiO2_Structural,Si_Surface-O_Hydroxyl_CSH,Si_Bulk-O_Hydroxyl_CSH,Si_Surface-O_NBO_CSH,Si_Bulk-O_NBO_CSH,Ca-O_SiO2_Surface_per_nm2,Ca-O_SiO2_Structural_per_nm2,Ca-O_Water_IF_CaCoord_per_nm2,CSH_Si-O_SiO2_Surface_per_nm2,CSH_Si-O_SiO2_Structural_per_nm2,Si_Surface-O_Hydroxyl_CSH_per_nm2,Si_Bulk-O_Hydroxyl_CSH_per_nm2,Si_Surface-O_NBO_CSH_per_nm2,Si_Bulk-O_NBO_CSH_per_nm2,Ca-O_SiO2_Surface_per_nm3,Ca-O_SiO2_Structural_per_nm3,Ca-O_Water_IF_CaCoord_per_nm3,CSH_Si-O_SiO2_Surface_per_nm3,CSH_Si-O_SiO2_Structural_per_nm3,Si_Surface-O_Hydroxyl_CSH_per_nm3,Si_Bulk-O_Hydroxyl_CSH_per_nm3,Si_Surface-O_NBO_CSH_per_nm3,Si_Bulk-O_NBO_CSH_per_nm3,Ca-O_SiO2_Surface_per_Ca,Ca-O_SiO2_Structural_per_Ca,Ca-O_Water_IF_CaCoord_per_Ca,CN_Ca_total_per_Ca
94,0,0,112,0,0,0,0,0,0,0,0,5.7698546,0,0,0,0,0,0,0,0,2.521347701,0,0,0,0,0,0,0,0,0.4571428571,0.4571428571
95,0,0,116,0,0,0,0,0,0,0,0,5.975920836,0,0,0,0,0,0,0,0,2.603556383,0,0,0,0,0,0,0,0,0.4696356275,0.4696356275
96,0,0,112,0,0,0,0,0,0,0,0,5.7698546,0,0,0,0,0,0,0,0,2.517795019,0,0,0,0,0,0,0,0,0.4534412955,0.4534412955
97,0,0,119,0,0,0,0,0,0,0,0,6.130470513,0,0,0,0,0,0,0,0,2.668220694,0,0,0,0,0,0,0,0,0.4798387097,0.4798387097
98,0,0,107,0,0,0,0,0,0,0,0,5.512271806,0,0,0,0,0,0,0,0,2.413249367,0,0,0,0,0,0,0,0,0.4331983806,0.4331983806
99,0,0,113,0,0,0,0,0,0,0,0,5.821371159,0,0,0,0,0,0,0,0,2.534993243,0,0,0,0,0,0,0,0,0.4574898785,0.4574898785
100,0,0,109,0,0,0,0,0,0,0,0,5.615304924,0,0,0,0,0,0,0,0,2.453375261,0,0,0,0,0,0,0,0,0.4448979592,0.4448979592
101,0,0,110,0,0,0,0,0,0,0,0,5.666821483,0,0,0,0,0,0,0,0,2.46947388,0,0,0,0,0,0,0,0,0.4453441296,0.4453441296
102,0,0,105,0,0,0,0,0,0,0,0,5.409238688,0,0,0,0,0,0,0,0,2.359534992,0,0,0,0,0,0,0,0,0.4251012146,0.4251012146
103,0,0,111,0,0,0,0,0,0,0,0,5.718338041,0,0,0,0,0,0,0,0,2.499593716,0,0,0,0,0,0,0,0,0.4530612245,0.4530612245
104,0,0,106,0,0,0,0,0,0,0,0,5.460755247,0,0,0,0,0,0,0,0,2.379475223,0,0,0,0,0,0,0,0,0.4274193548,0.4274193548
105,0,0,103,0,0,0,0,0,0,0,0,5.30620557,0,0,0,0,0,0,0,0,2.321597268,0,0,0,0,0,0,0,0,0.4204081633,0.4204081633
106,0,0,116,0,0,0,0,0,0,0,0,5.975920836,0,0,0,0,0,0,0,0,2.608836475,0,0,0,0,0,0,0,0,0.4754098361,0.4754098361
107,0,0,115,0,0,0,0,0,0,0,0,5.924404277,0,0,0,0,0,0,0,0,2.576047471,0,0,0,0,0,0,0,0,0.4637096774,0.4637096774
108,0,0,106,0,0,0,0,0,0,0,0,5.460755247,0,0,0,0,0,0,0,0,2.379848542,0,0,0,0,0,0,0,0,0.4291497976,0.4291497976
109,0,0,109,0,0,0,0,0,0,0,0,5.615304924,0,0,0,0,0,0,0,0,2.436451731,0,0,0,0,0,0,0,0,0.4430894309,0.4430894309
110,0,0,113,0,0,0,0,0,0,0,0,5.821371159,0,0,0,0,0,0,0,0,2.537179739,0,0,0,0,0,0,0,0,0.453815261,0.453815261
111,0,0,117,0,0,0,0,0,0,0,0,6.027437395,0,0,0,0,0,0,0,0,2.628594166,0,0,0,0,0,0,0,0,0.4736842105,0.4736842105
112,0,0,101,0,0,0,0,0,0,0,0,5.203172452,0,0,0,0,0,0,0,0,2.27275346,0,0,0,0,0,0,0,0,0.4089068826,0.4089068826
113,0,0,107,0,0,0,0,0,0,0,0,5.512271806,0,0,0,0,0,0,0,0,2.403486718,0,0,0,0,0,0,0,0,0.4349593496,0.4349593496
